"","R","se","Subdivision","Side","Contrast","pval","t","Site","pval.adj","ci"
"1",-0.535477067594341,0.16562983636835,"Anterior","L","Encoding
Hits > Control",0.00700523704388852,-2.97390417119133,"RUB",0.0280209481755541,0.324634479281966
"2",-0.21741951290407,0.19142469451343,"Medial","L","Encoding
Hits > Control",0.307468894481564,-1.04478089434902,"RUB",0.614937788963127,0.375192401246322
"3",0.0135754466239331,0.196098062914467,"Ventral","L","Encoding
Hits > Control",0.949799814861982,0.0636803569760032,"RUB",0.959821392167225,0.384352203312355
"4",-0.0108629494605551,0.19610456358486,"Posterior","L","Encoding
Hits > Control",0.959821392167225,-0.0509547558607732,"RUB",0.959821392167225,0.384364944626325
"5",-0.533707370429358,0.165849380550011,"Anterior","R","Encoding
Hits > Control",0.00723138519821815,-2.96015200657171,"RUB",0.0289255407928726,0.325064785878021
"6",0.205774888203454,0.191919123128714,"Medial","R","Encoding
Hits > Control",0.334720970132593,0.986276738068033,"RUB",0.669441940265187,0.376161481332279
"7",-0.141716771110501,0.194136783340036,"Ventral","R","Encoding
Hits > Control",0.508899993016417,-0.671487736815676,"RUB",0.67853332402189,0.38050809534647
"8",0.0508314001828167,0.195862605764215,"Posterior","R","Encoding
Hits > Control",0.813525471730234,0.238729017741536,"RUB",0.813525471730234,0.383890707297861
"9",-0.0795535843240032,0.195494562901101,"Anterior","L","Retrieval
Hits > Control",0.711745685752885,-0.374325777138011,"RUB",0.771438545758574,0.383169343286158
"10",0.602950960738865,0.156457187427901,"Medial","L","Retrieval
Hits > Control",0.00181693683563074,3.54495836718247,"RUB",0.00726774734252295,0.306656087358685
"11",0.148547169894536,0.19394029000981,"Ventral","L","Retrieval
Hits > Control",0.488473228707453,0.704564906651975,"RUB",0.771438545758574,0.380122968419228
"12",-0.06257939431273,0.195731745332881,"Posterior","L","Retrieval
Hits > Control",0.771438545758574,-0.294099816234274,"RUB",0.771438545758574,0.383634220852447
"13",-0.19230572144765,0.192455640193396,"Anterior","R","Retrieval
Hits > Control",0.367985814992999,-0.919149655294128,"RUB",0.367985814992999,0.377213054779056
"14",0.629604254757724,0.152365764677655,"Medial","R","Retrieval
Hits > Control",0.000978562535118594,3.80106175087054,"RUB",0.00391425014047438,0.298636898768204
"15",-0.348074280383894,0.183852396412828,"Ventral","R","Retrieval
Hits > Control",0.0955605238828556,-1.74151534433662,"RUB",0.127414031843807,0.360350696969144
"16",-0.360514992163034,0.182927995546975,"Posterior","R","Retrieval
Hits > Control",0.0835201463446675,-1.81287483559266,"RUB",0.127414031843807,0.358538871272071
"17",-0.244855075978052,0.190146299117263,"Anterior","L","Encoding
Hits > Control",0.00755040249313643,-2.47440153912164,"UNIBA",0.0302016099725457,0.186343373134918
"18",0.0772102618138772,0.19553069555115,"Medial","L","Encoding
Hits > Control",0.224925134566588,0.758768027345106,"UNIBA",0.299900179422118,0.191620081640127
"19",-0.00540277916411167,0.196113272800078,"Ventral","L","Encoding
Hits > Control",0.478946060475237,-0.0529369812015364,"UNIBA",0.478946060475237,0.192191007344076
"20",0.170843805574728,0.193232860131216,"Posterior","L","Encoding
Hits > Control",0.0462885708122723,1.6988975782156,"UNIBA",0.0925771416245446,0.189368202928592
"21",-0.26723955026081,0.188983416323354,"Anterior","R","Encoding
Hits > Control",0.00390519132170998,-2.71722736139427,"UNIBA",0.0156207652868399,0.185203747996887
"22",0.149516822700573,0.193911629330469,"Medial","R","Encoding
Hits > Control",0.0708589820913222,1.4816142506467,"UNIBA",0.0944786427884296,0.190033396743859
"23",0.0937534491723167,0.195252330899934,"Ventral","R","Encoding
Hits > Control",0.179249720412794,0.922656338674861,"UNIBA",0.179249720412794,0.191347284281936
"24",0.163521959336813,0.1934763520448,"Posterior","R","Encoding
Hits > Control",0.0538230215405589,1.6240415437933,"UNIBA",0.0944786427884296,0.189606825003904
"25",0.0170337385524611,0.196087681697493,"Anterior","L","Retrieval
Hits > Control",0.433892007856649,0.166920089004592,"UNIBA",0.483088543238847,0.192165928063543
"26",0.401542420221258,0.179611084629118,"Medial","L","Retrieval
Hits > Control",2.08441993022132e-05,4.2958315111048,"UNIBA",8.33767972088528e-05,0.176018862936536
"27",0.00433904723342138,0.196114288957809,"Ventral","L","Retrieval
Hits > Control",0.483088543238847,0.0425142069832746,"UNIBA",0.483088543238847,0.192192003178653
"28",-0.0190406520073716,0.196080581313195,"Posterior","L","Retrieval
Hits > Control",0.426186613918075,-0.186593354595305,"UNIBA",0.483088543238847,0.192158969686931
"29",-0.0208668456997377,0.196073433530806,"Anterior","R","Retrieval
Hits > Control",0.419199023131234,-0.204497024454441,"UNIBA",0.419199023131234,0.19215196486019
"30",0.331345784992427,0.185037415215218,"Medial","R","Retrieval
Hits > Control",0.000429973712794772,3.44089040112604,"UNIBA",0.00171989485117909,0.181336666910913
"31",0.028838703010349,0.196034566144369,"Ventral","R","Retrieval
Hits > Control",0.38901613754349,0.282678000844784,"UNIBA",0.419199023131234,0.192113874821481
"32",0.0315514432900766,0.196018494655902,"Posterior","R","Retrieval
Hits > Control",0.37888419691736,0.309293735132176,"UNIBA",0.419199023131234,0.192098124762784
